smiles,Formula,Mass,HOFs,Td,Ro,D(km/s),P(GPa),Q(J/g),V(L/kg),T(K)
Nc1c(C=N[N+](=O)[O-])n2nncc2c2nc3[nH]c(=O)n(N[N+](=O)[O-])c(=O)c3nc12,C11H6N12O6,402.2,355.8 ,228.2 ,1.815 ,7.04 ,22.6,4160,584,2432
Nn1c(=O)[nH]c(=O)c2nc(N[N+](=O)[O-])nnc21,C5H4N8O4,240.1,-65.5 ,217.5 ,1.806 ,7.04 ,22.5,3385,652,2210
Nc1cn2nnc(N)c2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3N[N+](=O)[O-],C10H6N12O6,390.2,249.6 ,238.6 ,1.799 ,7.04 ,22.4,4016,602,2420
Nc1c(N)n2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)[nH]c(=O)n3[N+](=O)[O-],C10H5N11O6,375.2,154.3 ,307.3 ,1.849 ,7.04 ,22.8,3862,582,2248
Nn1ncc2c(=O)n([N+](=O)[O-])[nH]c(=O)c21,C5H4N6O4,212.1,-131.0 ,278.9 ,1.821 ,7.04 ,22.6,3524,633,2233
Nn1c(=O)n(N[N+](=O)[O-])c2c(=O)[nH]c(=O)[nH]c21,C5H5N7O5,243.1,-345.4 ,249.5 ,1.836 ,7.04 ,22.7,3096,667,2068
O=c1[nH]c(=O)n2nc3c(=O)n(C=N[N+](=O)[O-])c(=O)n3nc12,C7H2N8O6,294.1,-222.9 ,236.1 ,1.873 ,7.04 ,23,3412,571,1949
Nn1c(=O)c2[nH]c(=O)n([N+](=O)[O-])c2n(N)c1=O,C5H5N7O5,243.1,-368.0 ,306.4 ,1.856 ,7.04 ,22.8,3003,667,2005
Nc1c([N+](=O)[O-])n2nncc2c2nc3c(nc12)c(=O)n(N)c(=O)n3[N+](=O)[O-],C10H5N11O6,375.2,243.4 ,326.1 ,1.809 ,7.04 ,22.5,4100,582,2386
Nc1nc2c(=O)[nH]c(=O)n(N[N+](=O)[O-])c2n1N,C5H6N8O4,242.2,-129.1 ,248.0 ,1.804 ,7.04 ,22.4,3283,693,2278
Nn1c(=O)c2c(n(N)c1=O)n([N+](=O)[O-])c(=O)n2N,C5H6N8O5,258.2,-355.5 ,308.6 ,1.839 ,7.04 ,22.7,2965,694,2058
Nc1nn2c(=O)[nH]nc(N)c2c1[N+](=O)[O-],C5H5N7O3,211.1,44.5 ,301.1 ,1.824 ,7.04 ,22.6,3547,663,2352
Nc1cn2nncc2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3[N+](=O)[O-],C10H4N10O6,360.2,282.5 ,280.7 ,1.803 ,7.04 ,22.4,4316,559,2415
Nc1nn(N)c2c1c(=O)n([N+](=O)[O-])c(=O)n2N,C5H6N8O4,242.2,-157.8 ,284.8 ,1.827 ,7.04 ,22.6,3164,693,2195
Nc1c([N+](=O)[O-])n2nnc(N)c2c2nc3c(nc12)c(=O)[nH]c(=O)n3[N+](=O)[O-],C10H5N11O6,375.2,148.7 ,322.3 ,1.849 ,7.04 ,22.7,3847,582,2239
N=c1[nH]c(N)nc2c([N+](=O)[O-])nc(C=N[N+](=O)[O-])nc12,C7H5N9O4,279.2,187.5 ,241.2 ,1.801 ,7.04 ,22.4,3900,621,2425
Nc1c(N)n2nnc(C=N[N+](=O)[O-])c2c2nc3[nH]c(=O)n([N+](=O)[O-])c(=O)c3nc12,C11H6N12O6,402.2,318.8 ,281.1 ,1.827 ,7.04 ,22.6,4068,584,2379
Nc1nc2c(=O)[nH]c(=O)n(N)c2n1N[N+](=O)[O-],C5H6N8O4,242.2,-128.4 ,254.0 ,1.802 ,7.04 ,22.4,3286,693,2280
NN=c1[nH]cnc2c1[nH]c(=O)n2[N+](=O)[O-],C5H5N7O3,211.1,75.5 ,277.1 ,1.796 ,7.04 ,22.4,3694,663,2449
Nn1c(=O)[nH]c(=O)c2[nH]c(=O)n(N[N+](=O)[O-])c21,C5H5N7O5,243.1,-347.3 ,253.0 ,1.835 ,7.04 ,22.6,3088,667,2063
Nc1c([N+](=O)[O-])n2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)n(N)c(=O)n3N,C10H6N12O6,390.2,157.8 ,333.4 ,1.834 ,7.04 ,22.6,3781,602,2279
Nn1c(=O)[nH]c2c(=O)n([N+](=O)[O-])c(=O)[nH]c21,C5H4N6O5,228.1,-387.8 ,288.9 ,1.880 ,7.03 ,23,3014,638,1923
O=c1[nH]c(=O)n(C=N[N+](=O)[O-])c2nc3c(=O)n(C=N[N+](=O)[O-])c(=O)[nH]c3nc12,C10H4N10O8,392.2,-287.4 ,216.9 ,1.876 ,7.03 ,22.9,3515,571,2007
Nc1cc2nc3c(=O)n([N+](=O)[O-])c(=O)[nH]c3nc2c2c([N+](=O)[O-])nnn12,C10H4N10O6,360.2,183.5 ,293.1 ,1.843 ,7.03 ,22.7,4041,559,2261
Nc1c(N)c2n[nH]nc2n([N+](=O)[O-])c1=O,C5H5N7O3,211.1,58.6 ,283.7 ,1.808 ,7.03 ,22.4,3614,663,2396
Nc1nnc2c(n1)c(=O)[nH]c(=O)n2[N+](=O)[O-],C5H3N7O4,225.1,-98.3 ,225.3 ,1.837 ,7.03 ,22.6,3365,621,2092
Nc1nnn2c(C=N[N+](=O)[O-])c(N[N+](=O)[O-])c3nc4c(=O)[nH]c(=O)[nH]c4nc3c12,C11H6N12O6,402.2,326.4 ,240.5 ,1.822 ,7.03 ,22.5,4087,584,2390
Nc1cc2nc3c(=O)[nH]c(=O)n(N[N+](=O)[O-])c3nc2c2c([N+](=O)[O-])nnn12,C10H5N11O6,375.2,242.7 ,250.3 ,1.806 ,7.03 ,22.4,4098,582,2385
Nc1cnn2c(=O)[nH]nc([N+](=O)[O-])c12,C5H4N6O3,196.1,86.5 ,294.9 ,1.796 ,7.03 ,22.3,3916,628,2460
Nn1c(=O)c2nn3c(=O)n(C=N[N+](=O)[O-])c(=O)c3nn2c1=O,C7H3N9O6,309.2,-198.2 ,272.4 ,1.842 ,7.03 ,22.7,3400,597,2032
Nc1c(C=N[N+](=O)[O-])n2nnc(N)c2c2nc3[nH]c(=O)n([N+](=O)[O-])c(=O)c3nc12,C11H6N12O6,402.2,302.6 ,282.5 ,1.831 ,7.03 ,22.6,4028,584,2355
Nc1nn(N)c2c(=O)n(N[N+](=O)[O-])c(=O)[nH]c12,C5H6N8O4,242.2,-141.5 ,251.5 ,1.810 ,7.03 ,22.4,3232,693,2242
Nn1c(=O)[nH]c2c(=O)[nH]c(=O)n(N[N+](=O)[O-])c21,C5H5N7O5,243.1,-341.1 ,242.8 ,1.828 ,7.03 ,22.5,3113,667,2079
Nc1c(N[N+](=O)[O-])c2nc3c(=O)[nH]c(=O)[nH]c3nc2c2c(C=N[N+](=O)[O-])nnn12,C11H6N12O6,402.2,345.2 ,234.8 ,1.814 ,7.03 ,22.4,4134,584,2417
Nc1c(C=N[N+](=O)[O-])c2nc3c(=O)n(N[N+](=O)[O-])c(=O)[nH]c3nc2c2cnnn12,C11H6N12O6,402.2,376.6 ,226.3 ,1.802 ,7.03 ,22.4,4212,584,2463
Nn1c(=O)[nH]c2[nH]c(=O)n([N+](=O)[O-])c(=O)c21,C5H4N6O5,228.1,-395.3 ,299.9 ,1.885 ,7.03 ,22.9,2981,638,1902
Nn1ncc2c1c(=O)n([N+](=O)[O-])c(=O)n2N,C5H5N7O4,227.1,-126.6 ,269.9 ,1.803 ,7.03 ,22.4,3411,665,2270
Nn1c(=O)c2c([nH]c(=O)n2N[N+](=O)[O-])n(N)c1=O,C5H6N8O5,258.2,-346.4 ,267.3 ,1.827 ,7.03 ,22.5,3000,694,2082
Nc1nc2[nH]nc([N+](=O)[O-])c2n2c(=O)n(N)c(=O)n12,C6H5N9O4,267.2,-53.7 ,330.3 ,1.874 ,7.03 ,22.9,3172,649,2061
O=c1[nH]c(=O)n(N[N+](=O)[O-])c2nc3c(ccn4nnc([N+](=O)[O-])c34)nc12,C10H4N10O6,360.2,237.4 ,237.5 ,1.817 ,7.03 ,22.5,4191,559,2345
Nc1nnn2cc([N+](=O)[O-])c3nc4c(=O)[nH]c(=O)n(N[N+](=O)[O-])c4nc3c12,C10H5N11O6,375.2,212.0 ,278.2 ,1.817 ,7.03 ,22.4,4016,582,2337
Nc1nn(N)c2c(=O)n(N)c(=O)n([N+](=O)[O-])c12,C5H6N8O4,242.2,-146.0 ,285.8 ,1.813 ,7.03 ,22.4,3213,693,2229
Nc1c(C=N[N+](=O)[O-])n2nnc(N[N+](=O)[O-])c2c2nc3[nH]c(=O)[nH]c(=O)c3nc12,C11H6N12O6,402.2,355.5 ,233.7 ,1.809 ,7.03 ,22.4,4160,584,2432
O=c1[nH]c(=O)n(N[N+](=O)[O-])c2nc3c(cc([N+](=O)[O-])n4nncc34)nc12,C10H4N10O6,360.2,243.2 ,267.1 ,1.814 ,7.03 ,22.4,4207,559,2354
Nc1[nH]c2nc3[nH]nc([N+](=O)[O-])c3c(=O)n2c1C=N[N+](=O)[O-],C8H5N9O5,307.2,124.4 ,270.6 ,1.801 ,7.03 ,22.3,3980,601,2394
Nc1c([N+](=O)[O-])c2nc3c(=O)[nH]c(=O)n(N[N+](=O)[O-])c3nc2c2cnnn12,C10H5N11O6,375.2,251.6 ,247.0 ,1.800 ,7.03 ,22.3,4122,582,2399
Nn1c(=O)c2c(n(N)c1=O)n(N)c(=O)n2[N+](=O)[O-],C5H6N8O5,258.2,-351.4 ,307.3 ,1.830 ,7.02 ,22.5,2981,694,2069
Nn1c(=O)n(N)c2c(=O)n(N[N+](=O)[O-])c(=O)[nH]c21,C5H6N8O5,258.2,-345.1 ,273.2 ,1.824 ,7.02 ,22.5,3005,694,2086
Nn1c(=O)n2cnc3[nH]nc(N[N+](=O)[O-])c3n2c1=O,C6H5N9O4,267.2,31.8 ,270.6 ,1.811 ,7.02 ,22.4,3492,649,2269
Nc1[nH]c2nc3c(c([N+](=O)[O-])nn3C=N[N+](=O)[O-])c(=O)n2c1N,C8H6N10O5,322.2,110.6 ,266.6 ,1.799 ,7.02 ,22.3,3822,625,2391
Nn1c(=O)c2[nH]c(=O)n(N)c2n([N+](=O)[O-])c1=O,C5H5N7O5,243.1,-365.5 ,300.9 ,1.847 ,7.02 ,22.6,3013,667,2013
Nc1nc2[nH]ncc2n2c(=O)n(N[N+](=O)[O-])c(=O)n12,C6H5N9O4,267.2,-16.8 ,253.5 ,1.845 ,7.02 ,22.6,3311,649,2151
O=c1[nH][nH]c(=O)c2c([N+](=O)[O-])n[nH]c12,C5H3N5O4,197.1,-149.9 ,319.8 ,1.844 ,7.02 ,22.6,3581,596,2136
Nc1c(C=N[N+](=O)[O-])c2nc3c(=O)[nH]c(=O)[nH]c3nc2c2c(N[N+](=O)[O-])nnn12,C11H6N12O6,402.2,356.9 ,235.2 ,1.807 ,7.02 ,22.4,4163,584,2434
Nc1nn(N)c2nc([N+](=O)[O-])n3c(=O)[nH]c(=O)n3c12,C6H5N9O4,267.2,-36.5 ,314.0 ,1.860 ,7.02 ,22.7,3237,649,2103
Nc1c([N+](=O)[O-])n2nncc2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3N,C10H5N11O6,375.2,236.9 ,322.6 ,1.805 ,7.02 ,22.3,4083,582,2376
Nc1c(C=N[N+](=O)[O-])[nH]c2nc3[nH]nc([N+](=O)[O-])c3c(=O)n12,C8H5N9O5,307.2,131.4 ,269.6 ,1.796 ,7.02 ,22.3,4002,601,2408
NN1C(=O)N=C2N(C=N[N+](=O)[O-])C(=O)N=C3N(N)C(=O)N=C1N32,C7H5N11O5,323.2,-21.7 ,245.7 ,1.831 ,7.02 ,22.5,3331,641,2135
Nc1c(N)n2c([N+](=O)[O-])nnc2[nH]c1=O,C5H5N7O3,211.1,40.0 ,301.5 ,1.820 ,7.02 ,22.4,3526,663,2338
Nn1c(=O)c2c(n(N)c(=O)n2N)n([N+](=O)[O-])c1=O,C5H6N8O5,258.2,-360.4 ,307.1 ,1.836 ,7.02 ,22.5,2946,694,2045
Nc1nn(C=N[N+](=O)[O-])c2nc3[nH]c([N+](=O)[O-])c(N)n3c(=O)c12,C8H6N10O5,322.2,71.4 ,276.0 ,1.818 ,7.02 ,22.4,3701,625,2315
Nc1nnn2c([N+](=O)[O-])c([N+](=O)[O-])c3nc4c(=O)n(N)c(=O)n(N)c4nc3c12,C10H6N12O6,390.2,204.5 ,341.6 ,1.809 ,7.02 ,22.3,3901,602,2351
Nc1cn2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)[nH]c(=O)n3N[N+](=O)[O-],C10H5N11O6,375.2,229.5 ,253.5 ,1.807 ,7.02 ,22.3,4063,582,2365
Nc1nn(N)c2c1c(=O)[nH]c(=O)n2N[N+](=O)[O-],C5H6N8O4,242.2,-157.0 ,248.5 ,1.819 ,7.02 ,22.4,3168,693,2197
Nc1cn2nnc(N[N+](=O)[O-])c2c2nc3c(nc12)c(=O)[nH]c(=O)n3[N+](=O)[O-],C10H5N11O6,375.2,253.5 ,253.3 ,1.797 ,7.02 ,22.3,4127,582,2402
Nc1nnn2cc(C=N[N+](=O)[O-])c3nc4c(=O)n(N[N+](=O)[O-])c(=O)[nH]c4nc3c12,C11H6N12O6,402.2,350.0 ,227.1 ,1.807 ,7.02 ,22.3,4146,584,2424
Nc1[nH]c2nc(N)n3nnnc3c2c1[N+](=O)[O-],C6H5N9O2,235.2,413.3 ,336.9 ,1.797 ,7.02 ,22.2,3815,666,2543
O=c1[nH]c(=O)n(C=N[N+](=O)[O-])c2nc3c(=O)[nH]c(=O)n(C=N[N+](=O)[O-])c3nc12,C10H4N10O8,392.2,-289.4 ,212.2 ,1.871 ,7.02 ,22.8,3509,571,2004
O=c1[nH]c2n[nH]nc2c(=O)n1C=N[N+](=O)[O-],C5H3N7O4,225.1,-88.6 ,219.8 ,1.822 ,7.02 ,22.4,3407,621,2119
Nc1c(N[N+](=O)[O-])n2nnc(C=N[N+](=O)[O-])c2c2nc3[nH]c(=O)[nH]c(=O)c3nc12,C11H6N12O6,402.2,348.8 ,239.0 ,1.807 ,7.02 ,22.3,4143,584,2422
Nc1[nH]nc2c(=O)n([N+](=O)[O-])ncc12,C5H4N6O3,196.1,78.6 ,298.4 ,1.797 ,7.02 ,22.2,3876,628,2435
Nc1nn(N)c2[nH]c(=O)n([N+](=O)[O-])c(=O)c12,C5H5N7O4,227.1,-189.5 ,285.9 ,1.853 ,7.02 ,22.6,3134,665,2086
Nn1c(=O)[nH]c2nc3c(=O)n(C=N[N+](=O)[O-])c(=O)n(C=N[N+](=O)[O-])c3nc2c1=O,C10H5N11O8,407.2,-228.9 ,240.7 ,1.833 ,7.02 ,22.5,3584,591,2119
Nc1nn(N)c2nc([N+](=O)[O-])n3c(=O)n(N)c(=O)n3c12,C6H6N10O4,282.2,-1.1 ,319.6 ,1.824 ,7.02 ,22.4,3271,674,2207
O=c1[nH]c(=O)c2nc3cc([N+](=O)[O-])n4nnc([N+](=O)[O-])c4c3nc2[nH]1,C10H3N9O6,345.2,97.7 ,322.5 ,1.891 ,7.01 ,22.9,3902,535,2089
Nn1c(=O)c2c([nH]c(=O)n2[N+](=O)[O-])n(N)c1=O,C5H5N7O5,243.1,-377.2 ,304.2 ,1.854 ,7.01 ,22.6,2965,667,1980
Nc1n[nH]c2c1c(=O)n(N)c(=O)n2N[N+](=O)[O-],C5H6N8O4,242.2,-160.2 ,252.0 ,1.820 ,7.01 ,22.4,3154,693,2188
Nc1n[nH]c2ncn3c(=O)n(N[N+](=O)[O-])c(=O)n3c12,C6H5N9O4,267.2,-14.2 ,260.6 ,1.840 ,7.01 ,22.5,3320,649,2157
O=c1[nH]c2cn[nH]c2c(=O)n1[N+](=O)[O-],C5H3N5O4,197.1,-130.9 ,244.2 ,1.822 ,7.01 ,22.4,3677,596,2194
Nn1c(=O)[nH]c(=O)c2nc3cc(N[N+](=O)[O-])n4nnc([N+](=O)[O-])c4c3nc21,C10H5N11O6,375.2,216.5 ,273.8 ,1.810 ,7.01 ,22.3,4028,582,2344
Nc1nc(=O)n2nc(N)n([N+](=O)[O-])c2n1,C4H4N8O3,212.1,-11.7 ,247.6 ,1.805 ,7.01 ,22.3,3158,686,2167
Nn1c(=O)[nH]c(=O)c2c1n(N)c(=O)n2[N+](=O)[O-],C5H5N7O5,243.1,-368.2 ,285.1 ,1.845 ,7.01 ,22.6,3002,667,2005
Nn1c(=O)c2cn[nH]c2n(N[N+](=O)[O-])c1=O,C5H5N7O4,227.1,-137.1 ,250.1 ,1.805 ,7.01 ,22.3,3364,665,2239
Nc1nnn2cc([N+](=O)[O-])c3nc4c(=O)n(N)c(=O)n([N+](=O)[O-])c4nc3c12,C10H5N11O6,375.2,244.1 ,324.5 ,1.797 ,7.01 ,22.2,4102,582,2387
Nc1n[nH]c2c1c(=O)n(N[N+](=O)[O-])c(=O)n2N,C5H6N8O4,242.2,-171.7 ,260.0 ,1.828 ,7.01 ,22.4,3107,693,2155
Nc1c([N+](=O)[O-])c2nc3c(=O)[nH]c(=O)n([N+](=O)[O-])c3nc2c2cnnn12,C10H4N10O6,360.2,212.7 ,291.7 ,1.821 ,7.01 ,22.4,4122,559,2307
Nn1nc(N[N+](=O)[O-])c2c1ncn1c(=O)[nH]c(=O)n21,C6H5N9O4,267.2,43.1 ,269.3 ,1.798 ,7.01 ,22.2,3535,649,2297
Nc1c([N+](=O)[O-])n2nncc2c2nc3c(nc12)c(=O)[nH]c(=O)n3[N+](=O)[O-],C10H4N10O6,360.2,171.2 ,302.2 ,1.839 ,7.01 ,22.5,4007,559,2242
Nn1ncc2c1c(=O)[nH]c(=O)n2[N+](=O)[O-],C5H4N6O4,212.1,-148.2 ,271.4 ,1.823 ,7.01 ,22.4,3443,633,2181
Nc1c(N)n2nnc(N)c2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3C=N[N+](=O)[O-],C11H7N13O6,417.3,315.6 ,290.5 ,1.809 ,7.01 ,22.3,3969,603,2397
Nc1n[nH]c2c1c(=O)n([N+](=O)[O-])c(=O)n2N,C5H5N7O4,227.1,-201.7 ,286.8 ,1.861 ,7.01 ,22.6,3080,665,2050
Nc1nnn2c([N+](=O)[O-])c([N+](=O)[O-])c3nc4c(=O)[nH]c(=O)n(N)c4nc3c12,C10H5N11O6,375.2,141.0 ,326.1 ,1.841 ,7.01 ,22.5,3827,582,2227
Nn1c(=O)c2nc3c([N+](=O)[O-])cn4nnc([N+](=O)[O-])c4c3nc2n(N)c1=O,C10H5N11O6,375.2,168.2 ,342.7 ,1.829 ,7.01 ,22.4,3899,582,2269
Nc1c([N+](=O)[O-])c2nc3c(=O)n(N)c(=O)[nH]c3nc2c2c(C=N[N+](=O)[O-])nnn12,C11H6N12O6,402.2,329.7 ,293.8 ,1.812 ,7.01 ,22.3,4096,584,2395
Nc1c([N+](=O)[O-])[nH]c2nc(N)n3nnnc3c12,C6H5N9O2,235.2,398.7 ,323.1 ,1.804 ,7.01 ,22.2,3753,666,2502
O=c1[nH]c2nc3c(ccn4nnc([N+](=O)[O-])c34)nc2c(=O)n1[N+](=O)[O-],C10H3N9O6,345.2,211.8 ,277.4 ,1.834 ,7.01 ,22.4,4233,535,2266
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2c1[nH]c(=O)n2N,C5H6N8O5,258.2,-351.0 ,264.4 ,1.823 ,7.01 ,22.4,2982,694,2070
Nc1[nH]c(=O)n2c(N)nnc2c1N[N+](=O)[O-],C5H6N8O3,226.2,43.5 ,252.5 ,1.804 ,7.01 ,22.2,3408,693,2363
Nn1ncc2c1ncn1c(=O)n(N[N+](=O)[O-])c(=O)n21,C6H5N9O4,267.2,42.6 ,263.7 ,1.797 ,7.01 ,22.2,3533,649,2296
Nn1c([N+](=O)[O-])nc2c(=O)[nH]c(=O)n(N)c21,C5H5N7O4,227.1,-170.9 ,301.8 ,1.832 ,7.01 ,22.4,3215,665,2140
Nn1c(=O)nc2n(C=N[N+](=O)[O-])ncnc-2c1=O,C6H4N8O4,252.2,36.1 ,236.1 ,1.810 ,7.01 ,22.3,3627,621,2255
Nc1nn(C=N[N+](=O)[O-])c2nc3[nH]c([N+](=O)[O-])cn3c(=O)c12,C8H5N9O5,307.2,99.9 ,267.9 ,1.807 ,7.01 ,22.2,3900,601,2346
Nc1c([N+](=O)[O-])c(=O)n(N)c2n[nH]nc12,C5H5N7O3,211.1,54.8 ,327.3 ,1.802 ,7.01 ,22.2,3596,663,2384
Nc1c(C=N[N+](=O)[O-])c2nc3c(=O)n(N)c(=O)[nH]c3nc2c2c([N+](=O)[O-])nnn12,C11H6N12O6,402.2,268.0 ,292.8 ,1.835 ,7.00 ,22.4,3942,584,2305
Nc1nn(N)c2[nH]c(=O)n(N[N+](=O)[O-])c(=O)c12,C5H6N8O4,242.2,-169.6 ,247.8 ,1.824 ,7.00 ,22.4,3116,693,2161
Nn1c(=O)n(N[N+](=O)[O-])c(=O)c2cn[nH]c21,C5H5N7O4,227.1,-143.2 ,252.0 ,1.808 ,7.00 ,22.2,3337,665,2221
Nn1nc(N[N+](=O)[O-])c2c(=O)[nH]c(=O)n(N)c21,C5H6N8O4,242.2,-142.1 ,245.8 ,1.801 ,7.00 ,22.2,3229,693,2240
Nn1c(=O)[nH]c2nc3c(cc([N+](=O)[O-])n4nnc(N[N+](=O)[O-])c34)nc2c1=O,C10H5N11O6,375.2,230.5 ,272.9 ,1.801 ,7.00 ,22.2,4065,582,2366
Nc1c(C=N[N+](=O)[O-])n2nnc([N+](=O)[O-])c2c2nc3[nH]c(=O)n(N)c(=O)c3nc12,C11H6N12O6,402.2,262.2 ,293.3 ,1.837 ,7.00 ,22.4,3928,584,2296
O=c1[nH]c(=O)c2nc3c(N[N+](=O)[O-])cn4nnc(C=N[N+](=O)[O-])c4c3nc2[nH]1,C11H5N11O6,387.2,329.9 ,225.2 ,1.821 ,7.00 ,22.3,4196,564,2366
Nn1c(=O)[nH]c2c(c(N[N+](=O)[O-])nn2N)c1=O,C5H6N8O4,242.2,-142.7 ,241.9 ,1.802 ,7.00 ,22.2,3227,693,2239
Nc1cn2nnc(C=N[N+](=O)[O-])c2c2nc3[nH]c(=O)n(N[N+](=O)[O-])c(=O)c3nc12,C11H6N12O6,402.2,352.2 ,229.8 ,1.801 ,7.00 ,22.2,4151,584,2427
Nc1nn(N)c2c(=O)[nH]c(=O)n(N[N+](=O)[O-])c12,C5H6N8O4,242.2,-145.4 ,246.4 ,1.803 ,7.00 ,22.2,3215,693,2231
Nc1c(C=N[N+](=O)[O-])n2nnc(N)c2c2nc3c(nc12)c(=O)[nH]c(=O)n3N[N+](=O)[O-],C11H7N13O6,417.3,325.1 ,243.4 ,1.803 ,7.00 ,22.2,3992,603,2411
Nc1c(N)n2nnc(C=N[N+](=O)[O-])c2c2nc3c(nc12)c(=O)[nH]c(=O)n3N[N+](=O)[O-],C11H7N13O6,417.3,336.6 ,241.0 ,1.798 ,7.00 ,22.2,4019,603,2427
Nc1nnn2c([N+](=O)[O-])c(C=N[N+](=O)[O-])c3nc4c(=O)n(N)c(=O)[nH]c4nc3c12,C11H6N12O6,402.2,304.4 ,300.0 ,1.819 ,7.00 ,22.3,4033,584,2358
Nc1cn2nnc([N+](=O)[O-])c2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3N,C10H5N11O6,375.2,186.4 ,316.5 ,1.819 ,7.00 ,22.3,3948,582,2298
Nc1nnn2cc(N[N+](=O)[O-])c3nc4c(=O)[nH]c(=O)n(C=N[N+](=O)[O-])c4nc3c12,C11H6N12O6,402.2,320.7 ,239.6 ,1.813 ,7.00 ,22.3,4073,584,2381
Nn1nc(C=N[N+](=O)[O-])nc2c(=O)n(N)c(=O)nc1-2,C6H5N9O4,267.2,17.7 ,249.4 ,1.812 ,7.00 ,22.3,3440,649,2235
Nn1ncc2c(=O)n(N[N+](=O)[O-])c(=O)[nH]c21,C5H5N7O4,227.1,-141.7 ,249.6 ,1.806 ,7.00 ,22.2,3344,665,2226
Nn1c(=O)c2c(cnn2[N+](=O)[O-])n(N)c1=O,C5H5N7O4,227.1,-141.1 ,285.1 ,1.805 ,7.00 ,22.2,3347,665,2228
Nc1c([N+](=O)[O-])n2nnc(C=N[N+](=O)[O-])c2c2nc3[nH]c(=O)n(N)c(=O)c3nc12,C11H6N12O6,402.2,292.6 ,299.2 ,1.824 ,7.00 ,22.3,4003,584,2341
Nc1nnn2c(C=N[N+](=O)[O-])c([N+](=O)[O-])c3nc4c(=O)n(N)c(=O)[nH]c4nc3c12,C11H6N12O6,402.2,311.0 ,288.7 ,1.816 ,7.00 ,22.3,4049,584,2367
Nn1c(=O)c2[nH]ncc2n(N[N+](=O)[O-])c1=O,C5H5N7O4,227.1,-131.0 ,248.6 ,1.796 ,7.00 ,22.1,3391,665,2257
Nc1n[nH]c2ncn3c(=O)n([N+](=O)[O-])c(=O)n3c12,C6H4N8O4,252.2,-32.8 ,286.0 ,1.858 ,7.00 ,22.6,3354,621,2086
Nn1c(=O)[nH]c2c([nH]c(=O)n2N[N+](=O)[O-])c1=O,C5H5N7O5,243.1,-358.8 ,259.2 ,1.831 ,7.00 ,22.4,3041,667,2031
Nc1nc2c(=O)n(N)c(=O)n(N[N+](=O)[O-])c2[nH]1,C5H6N8O4,242.2,-162.0 ,242.0 ,1.815 ,7.00 ,22.2,3147,693,2183
O=c1[nH]c2cn[nH]c2c(=O)n1N[N+](=O)[O-],C5H4N6O4,212.1,-137.3 ,219.7 ,1.809 ,7.00 ,22.2,3494,633,2214
Nc1nnn2c(C=N[N+](=O)[O-])cc3nc4c(=O)n(N[N+](=O)[O-])c(=O)[nH]c4nc3c12,C11H6N12O6,402.2,347.6 ,225.2 ,1.801 ,7.00 ,22.1,4140,584,2420
Nc1nnn2cc([N+](=O)[O-])c3nc4c(=O)[nH]c(=O)n([N+](=O)[O-])c4nc3c12,C10H4N10O6,360.2,180.4 ,304.0 ,1.831 ,7.00 ,22.4,4032,559,2257
Nn1c(=O)c2cn[nH]c2n([N+](=O)[O-])c1=O,C5H4N6O4,212.1,-152.7 ,274.5 ,1.822 ,7.00 ,22.3,3422,633,2168
Nn1c(=O)c2nc([N+](=O)[O-])n(N)c2n(N)c1=O,C5H6N8O4,242.2,-145.3 ,305.8 ,1.801 ,7.00 ,22.1,3216,693,2231
Nc1c(N)n2nnc(C=N[N+](=O)[O-])c2c2nc3c(nc12)c(=O)n([N+](=O)[O-])c(=O)n3N,C11H7N13O6,417.3,333.4 ,294.5 ,1.797 ,7.00 ,22.1,4012,603,2423
Nn1c(=O)[nH]c2[nH]c(=O)n(N[N+](=O)[O-])c2c1=O,C5H5N7O5,243.1,-363.2 ,257.0 ,1.834 ,6.99 ,22.4,3023,667,2019
Nn1c(=O)n(C=N[N+](=O)[O-])c(=O)c2nc3c(nc21)c(=O)[nH]c(=O)n3C=N[N+](=O)[O-],C10H5N11O8,407.2,-236.1 ,239.8 ,1.829 ,6.99 ,22.3,3567,591,2109
Nc1n[nH]c(=O)c2n[nH]c([N+](=O)[O-])c12,C5H4N6O3,196.1,65.9 ,305.2 ,1.800 ,6.99 ,22.1,3812,628,2394
NN=c1c2[nH]c(=O)[nH]c2ncn1[N+](=O)[O-],C5H5N7O3,211.1,52.6 ,280.0 ,1.800 ,6.99 ,22.1,3585,663,2377
Nn1c(=O)[nH]c2c(c([N+](=O)[O-])nn2N)c1=O,C5H5N7O4,227.1,-184.6 ,298.6 ,1.840 ,6.99 ,22.4,3155,665,2100
Nn1ncc2[nH]c(=O)n([N+](=O)[O-])c(=O)c21,C5H4N6O4,212.1,-151.9 ,268.2 ,1.820 ,6.99 ,22.3,3425,633,2170
